Frequency_Hz,SPL_dB
225.61158815899486,-0.13948843825122004
227.634352907899,-0.14897581560235
229.67525314914553,-0.15849005816357137
231.73445148003236,-0.16803012571589881
233.81211195565524,-0.17759493931944725
235.90840010197792,-0.1871833802653043
238.02348292901945,-0.19679428900072507
240.15752894415988,-0.20642646402697273
242.3107081655651,-0.21607866076911036
244.48319213573197,-0.2257495904170315
246.6751539351552,-0.23543791873700115
248.8867681961164,-0.2451422648529557
252.3610980067559,-0.2602430375691387
257.1504020276124,-0.28077206752007894
262.03059736723947,-0.3013530264863352
267.0034089593208,-0.32197940623407834
272.07059447329823,-0.3426446037810707
277.2339449356303,-0.36334193902936446
282.4952853628404,-0.3840646745405968
287.856475406581,-0.4048060376255356
293.3194100109368,-0.42555924493134484
298.8860200822048,-0.44631752972271255
304.5582731713842,-0.4670741720663608
